レコード番号,案件管理CD(自動採番),会計CD,ブランド名,ブランド名(その他),物件名称,物件名称（カナ）,【PS】物件No,郵便番号,地図表示用 所在地,緯度_代表点,経度_代表点,確認日_代表点,緯度_入口指定,経度_入口指定,確認日_入口指定,確認方法,入口座標フラグ,入口座標の郵便番号,入口座標の都道府県,入口座標の市区町村,入口座標の町域以降,入口座標の建物名,備考,都道府県,市区町村,町域,丁,番,号,複数の番地,建物および階,補足情報（今までの経緯や駐車場の入口に関する情報等）,所在地(謄本地番),丁,番,号,複数の番地,開設日,閉鎖日,四輪(時間貸),自動二輪(時間貸),自転車(時間貸),時間貸台数,四輪(月極),自動二輪(月極),自転車(月極),月極台数
4562,P1000477,1270805,その他,,Pat東住吉区北田辺2丁目第4,パットヒガシスミヨシクキタタナベニチョウメダイヨン,OSK7900098,546-0044,大阪府大阪市東住吉区北田辺2丁目55,,,,,,,,,,,,,,,大阪府,大阪市東住吉区,北田辺2丁目55,,,,,,,大阪府大阪市東住吉区北田辺2丁目55,,,,,2019/02/08,,0,0,0,0,30,,,30
4563,P1000516,1270847,その他,,加島1丁目月極駐車場,カシマイッチョウメツキギメチュウシャジョウ,OSK8500027,532-0031,大阪府大阪市淀川区加島1丁目61-5,,,,,,,,,,,,,,,大阪府,大阪市淀川区,加島1丁目61-5,,,,,,,大阪府大阪市淀川区加島1丁目61-5,,,,,2024/06/19,,0,0,0,0,6,,,6
4564,P1000548,1290072,その他,,ならまち若草第2 第3ﾓｰﾀｰﾌﾟｰﾙ,ナラマチダイニダイサンモータープール,OSN7900003,630-8301,奈良県奈良市高畑町1117-3,,,,,,,,,,,,,,,奈良県,奈良市,高畑町1117-3,,,,,,,奈良県奈良市高畑町1117-3,,,,,2019/01/15,,18,0,0,18,0,,,0
4565,P1000743,1401197,タイムパーク,,九大新町,キュウダイシンマチ,FOK7900001,819-0388,福岡県福岡市西区九大新町6,,,,,,,,,,,,,,,福岡県,福岡市西区,九大新町6,,,,,,,福岡県福岡市西区九大新町6,,,,,2018/07/01,,8,0,0,8,0,,,0
4566,P1000001,1010127,タイムパーク,,北10条東3丁目第1,キタジュウジョウヒガシサンチョウメダイイチ,TOK8000010,065-0010,北海道札幌市東区北10条東3丁目1,,,,,,,,,,,,,,,北海道,札幌市東区,北10条東3丁目1,,,,,,,北海道札幌市東区北10条東3丁目1,,,,,2019/05/11,,11,0,0,11,49,,,49
4569,P1000004,1010130,Dﾊﾟｰｷﾝｸﾞ,,函館本町PS第2,ハコダテホンチョウ,TOK8300036,040-0011,北海道函館市本町22-2,,,,,,,,,,,,,,,北海道,函館市,本町22-2,,,,,,,北海道函館市本町22-2,,,,,2022/08/06,,22,0,0,22,0,,,0
4570,P1000005,1010131,Dﾊﾟｰｷﾝｸﾞ,,函館本町PS第3,ハコダテホンチョウピーエスダイサン,TOK8300109,040-0011,北海道函館市本町23-87,,,,,,,,,,,,,,,北海道,函館市,本町23-87,,,,,,,北海道函館市本町23-87,,,,,2023/03/27,,9,0,0,9,0,,,0
4571,P1000006,1010132,Dﾊﾟｰｷﾝｸﾞ,,函館松風町PS第1,ハコダテマツカゼチョウピーエスダイイチ,TOK8300110,040-0035,北海道函館市松風町8－13,,,,,,,,,,,,,,,北海道,函館市,松風町8－13,,,,,,,北海道函館市松風町8－13,,,,,2023/03/27,,9,0,0,9,4,,,4
4572,P1000007,1010133,Dﾊﾟｰｷﾝｸﾞ,,函館松風町PS第3,ハコダテマツカゼチョウピーエスダイサン,TOK8300112,040-0035,北海道函館市松風町5－9隣,,,,,,,,,,,,,,,北海道,函館市,松風町5－9隣,,,,,,,北海道函館市松風町5－9隣,,,,,2023/03/27,,10,0,0,10,14,,,14
4573,P1000008,1010134,Dﾊﾟｰｷﾝｸﾞ,,函館本町PS第4,ハコダテホンチョウピーエスダイヨン,TOK8400001,040-0011,北海道函館市本町9-3隣,,,,,,,,,,,,,,,北海道,函館市,本町9-3隣,,,,,,,北海道函館市本町9-3隣,,,,,2023/04/24,,6,0,0,6,18,,,18
