レコード番号,案件管理CD(自動採番),会計CD,ブランド名,ブランド名(その他),物件名称,物件名称（カナ）,【PS】物件No,郵便番号,地図表示用 所在地,緯度_代表点,経度_代表点,確認日_代表点,緯度_入口指定,経度_入口指定,確認日_入口指定,確認方法,入口座標フラグ,入口座標の郵便番号,入口座標の都道府県,入口座標の市区町村,入口座標の町域以降,入口座標の建物名,備考,都道府県,市区町村,町域,丁,番,号,複数の番地,建物および階,補足情報（今までの経緯や駐車場の入口に関する情報等）,所在地(謄本地番),丁,番,号,複数の番地,開設日,閉鎖日,四輪(時間貸),自動二輪(時間貸),自転車(時間貸),時間貸台数,四輪(月極),自動二輪(月極),自転車(月極),月極台数
4579,P1000016,1010142,Dﾊﾟｰｷﾝｸﾞ,,旭川PS第3,アサヒカワピーエスダイサン,TOK8500095,070-0031,北海道旭川市1条通6丁目39-3,43.765921,142.3560358,2026-03-03 17:01:23+09:00,,,,,,,,,,,,北海道,旭川市,1条通6丁目39-3,,,,,,,北海道旭川市1条通6丁目39-3,,,,,2024/11/05,,6,0,0,6,0,,,0
4580,P1000017,1010143,Dﾊﾟｰｷﾝｸﾞ,,旭川PS第1,アサヒカワピーエスダイイチ,TOK8500096,070-0032,北海道旭川市2条通7丁目384-2,43.766561,142.35847,2026-03-03 17:01:23+09:00,,,,,,,,,,,,北海道,旭川市,2条通7丁目384-2,,,,,,,北海道旭川市2条通7丁目384-2,,,,,2024/11/01,,20,0,0,20,0,,,0
4581,P1000018,1010144,Dﾊﾟｰｷﾝｸﾞ,,旭川PS第2,アサヒカワピーエスダイニ,TOK8500097,070-0031,北海道旭川市1条通10丁目2068-1,43.7645993,142.3630282,2026-03-03 17:01:23+09:00,,,,,,,,,,,,北海道,旭川市,1条通10丁目2068-1,,,,,,,北海道旭川市1条通10丁目2068-1,,,,,2024/11/01,,20,0,0,20,0,,,0
4582,P1000019,1020004,Dﾊﾟｰｷﾝｸﾞ,,弘前土手町PS第1,ヒロサキドテマチピーエスダイイチ,SND8500005,036-8182,青森県弘前市土手町１３５,40.597986,140.4757323,2026-03-03 17:01:23+09:00,,,,,,,,,,,,青森県,弘前市,土手町１３５,,,,,,,青森県弘前市土手町１３５,,,,,2024/06/01,,35,0,0,35,10,,,10
4584,P1000021,1030003,Dﾊﾟｰｷﾝｸﾞ,,盛岡志家町PS第1,モリオカシケチョウピーエスダイイチ,SND8300018,020-0883,岩手県盛岡市志家町1,39.6994677,141.1599906,2026-03-03 17:01:23+09:00,,,,,,,,,,,,岩手県,盛岡市,志家町1,,,,,,,岩手県盛岡市志家町1,,,,,2023/03/11,,25,0,0,25,1,,,1
4585,P1000022,1030004,タイムパーク,,上ﾉ橋町PS第1,イワテケンモリオカシカミノハシマチサン－イチ,SND8300020,020-0887,岩手県盛岡市上ノ橋町3-1,39.7054373,141.159129,2026-03-03 17:01:23+09:00,,,,,,,,,,,,岩手県,盛岡市,上ノ橋町3-1,,,,,,,岩手県盛岡市上ノ橋町3-1,,,,,2023/03/31,,13,0,0,13,4,,,4
4587,P1000024,1030006,Dﾊﾟｰｷﾝｸﾞ,,盛岡八幡町PS第1,モリオカハチマンマチピーエスダイイチ,SND8500028,020-0872,岩手県盛岡市八幡町75-1,39.6961462,141.1640286,2026-03-03 17:01:23+09:00,,,,,,,,,,,,岩手県,盛岡市,八幡町75-1,,,,,,,岩手県盛岡市八幡町75-1,,,,,2025/02/28,,6,0,0,6,0,,,0
4588,P1000025,1030007,Dﾊﾟｰｷﾝｸﾞ,,盛岡中央通PS第4,モリオカチュウオウトオリピーエスダイヨン,SND8600010,020-0021,岩手県盛岡市中央通２丁目11-15,39.7040789,141.1440954,2026-03-03 17:01:23+09:00,,,,,,,,,,,,岩手県,盛岡市,中央通２丁目11-15,,,,,,,岩手県盛岡市中央通２丁目11-15,,,,,2025/08/29,,25,0,0,25,0,,,0
4626,P1000064,1040063,Dﾊﾟｰｷﾝｸﾞ,,長町PS第1【仙台市】,ナガマチピーエスダイイチ,SND7800158,982-0011,宮城県仙台市太白区長町五丁目7-1,38.1970468,140.8866217,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市太白区,長町五丁目7-1,,,,,,,宮城県仙台市太白区長町五丁目7-1,,,,,2003/11/01,,12,0,0,12,0,,,0
4633,P1000071,1040070,Dﾊﾟｰｷﾝｸﾞ,,富沢駅前,トミザワエキマエ,SND7800167,982-0014,宮城県仙台市太白区大野田5,38.2158379,140.8751182,2026-03-03 17:01:23+09:00,,,,,,,,,,,,宮城県,仙台市太白区,大野田5,,,,,,,宮城県仙台市太白区大野田5,,,,,2014/08/01,,23,0,0,23,0,,,0
